ID	logFC	CI.025	CI.975	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000037405	-3.47562816147991	-3.91954253607633	-3.03171378688349	0.665168973152105	-15.0573771091421	1.32398348116074E-13	5.12805281923178E-9	17.4649452298633
ENSMUSG00000034855	-2.32574098452672	-2.70145447706009	-1.95002749199335	0.465371160973507	-12.2463131589304	1.02138150713416E-11	1.97800742671602E-7	14.6496435757679
ENSMUSG00000026166	-2.91933687514245	-3.44819790924069	-2.39047584104421	4.76546774037822	-10.8354309103802	1.20824993594489E-10	1.55993121730058E-6	12.6943504776977
ENSMUSG00000019850	-2.0856711626226	-2.47683243530286	-1.69450988994235	3.69617377068445	-10.3924809673434	2.74748226186556E-10	2.66038707416443E-6	11.9726591660287
ENSMUSG00000053175	-1.80807954247048	-2.19705189817775	-1.4191071867632	3.09490927179118	-9.24633384395281	2.57031709334575E-9	1.99107043318935E-5	10.2998477405692
ENSMUSG00000018899	-1.3958382234712	-1.74722645162235	-1.04444999532005	3.89692192629282	-7.77348171837861	5.82982402041031E-8	3.7633457326422E-4	7.81254247940923
ENSMUSG00000014599	-1.84778163659091	-2.3398573371403	-1.35570593604151	0.539009892458713	-7.36628889685359	1.45382110604623E-7	8.0441998684832E-4	6.96929684750884
ENSMUSG00000021025	-1.83111171597774	-2.33675742539084	-1.32546600656463	6.89307623376869	-7.10354288459166	2.65218350644292E-7	0.00128405464464434	6.60095829149051
ENSMUSG00000024401	-2.30400085520627	-2.95221046741347	-1.65579124299907	3.04950860217846	-6.89855320430106	4.26562253846822E-7	0.00183573435733279	6.07226948373389
ENSMUSG00000032000	-1.57025808682638	-2.0308501627902	-1.10966601086256	3.92670459783276	-6.73930971809709	6.19286709766156E-7	0.00227920463437707	5.8452222564278
ENSMUSG00000072620	-1.72902836714542	-2.2384029966867	-1.21965373760414	1.01924346896191	-6.72050042335125	6.47300706861195E-7	0.00227920463437707	5.68761322341299
ENSMUSG00000020826	-3.03261605994306	-3.95967597494698	-2.10555614493913	1.45264491633131	-6.67726929739298	7.16703522780849E-7	0.00231328007036232	5.63648046005452
ENSMUSG00000039232	-1.27355344757803	-1.62605041612659	-0.921056479029471	-0.516324961260754	-6.48132103647172	1.1404108441642E-6	0.0033977225243206	5.31603276338009
ENSMUSG00000074211	-1.25149141452738	-1.64471188869147	-0.858270940363284	4.15256387117229	-6.26368456258958	1.92046033659613E-6	0.00531309069693152	4.87157596966605
ENSMUSG00000038370	1.27083706622719	0.835655206325663	1.70601892612872	-0.167905735499013	6.22809204953734	2.09239709749773E-6	0.00534384914411246	4.78237425500482
ENSMUSG00000055730	1.93752617783371	1.33087560001398	2.54417675565344	5.18287297137152	6.20588972545939	2.20751797753277E-6	0.00534384914411246	4.7585397656013
ENSMUSG00000026773	-1.79989303975875	-2.38838014499486	-1.21140593452264	2.58094943334648	-6.13275635352861	2.63443701915688E-6	0.00600217733094025	4.55642415223778
ENSMUSG00000038068	0.941892338869374	0.60261923097785	1.2811654467609	-0.412867199422755	6.10823761469643	2.79567441325171E-6	0.00601567007633695	4.57047014687273
ENSMUSG00000079516	1.60663276919647	1.07837225169122	2.13489328670173	4.77875729137036	5.90871587865663	4.54403372153379E-6	0.00926313232118142	4.12448459425777
ENSMUSG00000025225	-1.36755510599686	-1.83049445682623	-0.904615755167477	3.42080251138069	-5.85755227210568	5.15014164867788E-6	0.00949882315888532	3.9962788896272
ENSMUSG00000077419	-1.47643932254028	-1.84649905394867	-1.10637959113189	-1.06066140080807	-5.86819816625418	5.01759181207808E-6	0.00949882315888532	4.09389664357741
